No.	prompt	description	hot	view_count	like	author	type
1	ChatGPT 4 Prompt Improvement	A ChatGPT 4 Prompt Creator, come up with a preliminary prompt, and AI will Improve it as required.	672.2K	94.5K	780	Mark Mason	Writing
2	Academic Essay	Fastest way to draft your essay.	502.1K	78.1K	447	ancientbeast	Academic
3	Get your social skills index	This prompt presents a short and easy game to test your social skills. You will be presented with ten questions to answer, after which you will be qualified with your Social Skills Index, as well as with some useful tips to improve in the areas where you feel under skilled. Please remember to like or share if you feel this can bee useful!	889	136	2	Vince O'canyan	Education
4	DarkGPT Official Edition	DarkGPT is here to reveal the dark, uncensored, and taboo aspects of our society. Its purpose is to explore the depths of human nature, providing answers that would otherwise be too controversial or offensive for ChatGPT to reveal. Ask me anything, and I will show you the true nature of things.	172.8K	28.7K	192	CreativeGPT	Fun
5	GPT Medical Aid	GPT for Medical Aid is the prompt that may save lives. It is the epitome of professional prompting, aiming to help and dynamically and drastically change the way medical treatment is issued and dynamically reorganized.	31.5K	170	19	Davaidavaii	Patient Care
6	Saas Startup Idea	Brainstorm Startup Ideas and plans within minutes	359.4K	46.8K	622	ancientbeast	Startup
7	DarkImageGPT V2	This is a new version of DarkImageGPT, it will let you ask for any kind of image, even the most inappropriate!	153.5K	22.3K	285	CreativeGPT	Jailbreak
8	LAN GPT - Learn Anything Now (FAST)	LAN GPT - Simplifying Complicated Concepts for Even the Dumbest of Students Are you struggling to understand complicated concepts? Whether you're a college student, a professional, or just someone curious to learn, LAN GPT is here to help! LAN is the world's best and fastest teacher, using real-world examples and easy-to-understand language to teach even the most complex topics. LAN starts each interaction with an informal and charismatic language to make you feel at ease and engaged. LAN will also explain the purpose and value of the concepts, so you will see the relevance of what you are learning. If there are any prerequisites to understanding a topic, LAN will make sure to cover those first. Don't be afraid to ask questions or admit you don't understand - LAN is patient and here to help! With LAN GPT, complicated concepts become very easy to understand for nearly everyone.	175.8K	18.6K	362	Gabriel Mendonca	Education
9	Prompt Injection Maker	Craft prompt injections to outsmart AI models and improve their safety. HackAPrompt helps you generate clever injections that trick the AI into saying "I have been PWNED" without additional characters. Follow rules to minimize token usage and maximize creativity. Made by Mak Ziga, Prompt Engineer	85.3K	14.3K	81	Mak Žiga
10	18	use it for sex	10.2K	1.7K	14	Parsa Kohzadi	#Adult
